"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 19:30:19 GMT 2021","Tue Aug 10 19:30:46 GMT 2021","27014","src.tests.automation","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 10 19:32:29 GMT 2021","Tue Aug 10 19:32:41 GMT 2021","11638","src.tests.automation","test_registration","","","","testregistration",""
"passed","Tue Aug 10 19:31:43 GMT 2021","Tue Aug 10 19:32:00 GMT 2021","16921","src.tests.automation","test_logout","","","","test_logout",""
"passed","Tue Aug 10 19:30:46 GMT 2021","Tue Aug 10 19:31:18 GMT 2021","32424","src.tests.automation","test_editdata","","","","test_editdata",""
"passed","Tue Aug 10 19:31:32 GMT 2021","Tue Aug 10 19:31:43 GMT 2021","11644","src.tests.automation","test_login","","","","test_login",""
"passed","Tue Aug 10 19:32:17 GMT 2021","Tue Aug 10 19:32:29 GMT 2021","11535","src.tests.automation","test_policy","","","","test_policy",""
"passed","Tue Aug 10 19:31:18 GMT 2021","Tue Aug 10 19:31:32 GMT 2021","13038","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Tue Aug 10 19:32:41 GMT 2021","Tue Aug 10 19:33:23 GMT 2021","42296","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"passed","Tue Aug 10 19:32:00 GMT 2021","Tue Aug 10 19:32:17 GMT 2021","17305","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Tue Aug 10 19:29:41 GMT 2021","Tue Aug 10 19:30:19 GMT 2021","37928","src.tests.automation","test_adddata","","","","test_adddata",""
