"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 09 18:40:02 GMT 2021","Mon Aug 09 18:40:02 GMT 2021","3","src.tests.automation","test_editdata","","","","test_editdata",""
"broken","Mon Aug 09 18:40:11 GMT 2021","Mon Aug 09 18:40:11 GMT 2021","1","src.tests.automation","test_logout","","","","test_logout",""
"broken","Mon Aug 09 18:40:02 GMT 2021","Mon Aug 09 18:40:02 GMT 2021","3","src.tests.automation","test_adddata","","","","test_adddata",""
"broken","Mon Aug 09 18:40:02 GMT 2021","Mon Aug 09 18:40:02 GMT 2021","3","src.tests.automation","test_listallelements","","","","test_listallelements",""
"broken","Mon Aug 09 18:40:11 GMT 2021","Mon Aug 09 18:40:11 GMT 2021","3","src.tests.automation","test_pagination","","","","test_pagination",""
"broken","Mon Aug 09 18:40:02 GMT 2021","Mon Aug 09 18:40:02 GMT 2021","3","src.tests.automation","test_deletedata","","","","test_deletedata",""
"broken","Mon Aug 09 18:40:02 GMT 2021","Mon Aug 09 18:40:10 GMT 2021","8407","src.tests.automation","test_login","","","","test_login",""
"broken","Mon Aug 09 18:40:11 GMT 2021","Mon Aug 09 18:40:11 GMT 2021","3","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"broken","Mon Aug 09 18:40:11 GMT 2021","Mon Aug 09 18:40:11 GMT 2021","1","src.tests.automation","test_registration","","","","testregistration",""
"broken","Mon Aug 09 18:40:11 GMT 2021","Mon Aug 09 18:40:11 GMT 2021","3","src.tests.automation","test_policy","","","","test_policy",""
