"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 21:08:43 GMT 2021","Mon Aug 16 21:08:55 GMT 2021","11652","src.tests.automation","test_policy","","","","test_policy",""
"passed","Mon Aug 16 21:06:04 GMT 2021","Mon Aug 16 21:06:43 GMT 2021","39406","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Mon Aug 16 21:07:43 GMT 2021","Mon Aug 16 21:07:57 GMT 2021","13741","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Mon Aug 16 21:08:09 GMT 2021","Mon Aug 16 21:08:26 GMT 2021","17090","src.tests.automation","test_logout","","","","test_logout",""
"passed","Mon Aug 16 21:09:07 GMT 2021","Mon Aug 16 21:09:49 GMT 2021","42665","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"passed","Mon Aug 16 21:07:10 GMT 2021","Mon Aug 16 21:07:43 GMT 2021","32719","src.tests.automation","test_editdata","","","","test_editdata",""
"passed","Mon Aug 16 21:07:57 GMT 2021","Mon Aug 16 21:08:09 GMT 2021","11818","src.tests.automation","test_login","","","","test_login",""
"passed","Mon Aug 16 21:08:26 GMT 2021","Mon Aug 16 21:08:43 GMT 2021","17581","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Mon Aug 16 21:08:55 GMT 2021","Mon Aug 16 21:09:07 GMT 2021","11794","src.tests.automation","test_registration","","","","testregistration",""
"passed","Mon Aug 16 21:06:43 GMT 2021","Mon Aug 16 21:07:10 GMT 2021","27228","src.tests.automation","test_deletedata","","","","test_deletedata",""
