"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 09 18:32:59 GMT 2021","Mon Aug 09 18:32:59 GMT 2021","2","src.tests.automation","test_policy","","","","test_policy",""
"broken","Mon Aug 09 18:32:54 GMT 2021","Mon Aug 09 18:32:54 GMT 2021","2","src.tests.automation","test_editdata","","","","test_editdata",""
"broken","Mon Aug 09 18:32:59 GMT 2021","Mon Aug 09 18:32:59 GMT 2021","0","src.tests.automation","test_logout","","","","test_logout",""
"broken","Mon Aug 09 18:32:54 GMT 2021","Mon Aug 09 18:32:54 GMT 2021","2","src.tests.automation","test_adddata","","","","test_adddata",""
"broken","Mon Aug 09 18:32:59 GMT 2021","Mon Aug 09 18:32:59 GMT 2021","0","src.tests.automation","test_registration","","","","testregistration",""
"broken","Mon Aug 09 18:32:59 GMT 2021","Mon Aug 09 18:32:59 GMT 2021","3","src.tests.automation","test_pagination","","","","test_pagination",""
"broken","Mon Aug 09 18:32:54 GMT 2021","Mon Aug 09 18:32:54 GMT 2021","3","src.tests.automation","test_deletedata","","","","test_deletedata",""
"broken","Mon Aug 09 18:32:54 GMT 2021","Mon Aug 09 18:32:59 GMT 2021","5077","src.tests.automation","test_login","","","","test_login",""
"broken","Mon Aug 09 18:32:59 GMT 2021","Mon Aug 09 18:32:59 GMT 2021","3","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"broken","Mon Aug 09 18:32:54 GMT 2021","Mon Aug 09 18:32:54 GMT 2021","3","src.tests.automation","test_listallelements","","","","test_listallelements",""
