"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 19:21:57 GMT 2021","Tue Aug 10 19:22:10 GMT 2021","13447","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Tue Aug 10 19:23:09 GMT 2021","Tue Aug 10 19:23:21 GMT 2021","11929","src.tests.automation","test_registration","","","","testregistration",""
"passed","Tue Aug 10 19:23:21 GMT 2021","Tue Aug 10 19:24:04 GMT 2021","42677","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"passed","Tue Aug 10 19:22:39 GMT 2021","Tue Aug 10 19:22:57 GMT 2021","17671","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Tue Aug 10 19:20:57 GMT 2021","Tue Aug 10 19:21:24 GMT 2021","27328","src.tests.automation","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 10 19:22:10 GMT 2021","Tue Aug 10 19:22:22 GMT 2021","11851","src.tests.automation","test_login","","","","test_login",""
"broken","Tue Aug 10 19:20:44 GMT 2021","Tue Aug 10 19:20:57 GMT 2021","13129","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 19:22:22 GMT 2021","Tue Aug 10 19:22:39 GMT 2021","17145","src.tests.automation","test_logout","","","","test_logout",""
"passed","Tue Aug 10 19:22:57 GMT 2021","Tue Aug 10 19:23:09 GMT 2021","11966","src.tests.automation","test_policy","","","","test_policy",""
"passed","Tue Aug 10 19:21:24 GMT 2021","Tue Aug 10 19:21:57 GMT 2021","32835","src.tests.automation","test_editdata","","","","test_editdata",""
