"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 18:00:27 GMT 2021","Tue Aug 10 18:00:32 GMT 2021","5509","src.tests.automation","test_registration","","","","test_policy",""
"passed","Tue Aug 10 17:57:56 GMT 2021","Tue Aug 10 17:58:23 GMT 2021","26272","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 18:00:21 GMT 2021","Tue Aug 10 18:00:27 GMT 2021","5573","src.tests.automation","test_policy","","","","test_policy",""
"passed","Tue Aug 10 17:59:22 GMT 2021","Tue Aug 10 17:59:35 GMT 2021","13107","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Tue Aug 10 18:00:04 GMT 2021","Tue Aug 10 18:00:21 GMT 2021","16658","src.tests.automation","test_pagination","","","","test_logout",""
"passed","Tue Aug 10 17:58:23 GMT 2021","Tue Aug 10 17:58:50 GMT 2021","27034","src.tests.automation","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 10 18:00:32 GMT 2021","Tue Aug 10 18:01:14 GMT 2021","42280","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"passed","Tue Aug 10 17:59:35 GMT 2021","Tue Aug 10 17:59:48 GMT 2021","13079","src.tests.automation","test_login","","","","test_listallelements",""
"passed","Tue Aug 10 17:58:50 GMT 2021","Tue Aug 10 17:59:22 GMT 2021","32414","src.tests.automation","test_editdata","","","","test_editdata",""
"passed","Tue Aug 10 17:59:48 GMT 2021","Tue Aug 10 18:00:04 GMT 2021","15926","src.tests.automation","test_logout","","","","test_logout",""
