"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 21:02:57 GMT 2021","Mon Aug 16 21:03:14 GMT 2021","17672","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Mon Aug 16 21:02:14 GMT 2021","Mon Aug 16 21:02:28 GMT 2021","13420","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Mon Aug 16 21:01:14 GMT 2021","Mon Aug 16 21:01:42 GMT 2021","27364","src.tests.automation","test_deletedata","","","","test_deletedata",""
"passed","Mon Aug 16 21:03:38 GMT 2021","Mon Aug 16 21:04:21 GMT 2021","42666","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"passed","Mon Aug 16 21:00:35 GMT 2021","Mon Aug 16 21:01:14 GMT 2021","39108","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Mon Aug 16 21:02:40 GMT 2021","Mon Aug 16 21:02:57 GMT 2021","17106","src.tests.automation","test_logout","","","","test_logout",""
"passed","Mon Aug 16 21:02:28 GMT 2021","Mon Aug 16 21:02:40 GMT 2021","11857","src.tests.automation","test_login","","","","test_login",""
"passed","Mon Aug 16 21:03:14 GMT 2021","Mon Aug 16 21:03:26 GMT 2021","11728","src.tests.automation","test_policy","","","","test_policy",""
"passed","Mon Aug 16 21:03:26 GMT 2021","Mon Aug 16 21:03:38 GMT 2021","11856","src.tests.automation","test_registration","","","","testregistration",""
"passed","Mon Aug 16 21:01:42 GMT 2021","Mon Aug 16 21:02:14 GMT 2021","32797","src.tests.automation","test_editdata","","","","test_editdata",""
