"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 21:35:00 GMT 2021","Mon Aug 16 21:35:12 GMT 2021","11849","src.tests.automation","test_registration","","","","testregistration",""
"passed","Mon Aug 16 21:34:48 GMT 2021","Mon Aug 16 21:35:00 GMT 2021","11846","src.tests.automation","test_policy","","","","test_policy",""
"passed","Mon Aug 16 21:33:48 GMT 2021","Mon Aug 16 21:34:02 GMT 2021","13440","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Mon Aug 16 21:35:12 GMT 2021","Mon Aug 16 21:35:55 GMT 2021","42702","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"broken","Mon Aug 16 21:32:35 GMT 2021","Mon Aug 16 21:32:48 GMT 2021","13446","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Mon Aug 16 21:34:14 GMT 2021","Mon Aug 16 21:34:31 GMT 2021","17022","src.tests.automation","test_logout","","","","test_logout",""
"passed","Mon Aug 16 21:34:31 GMT 2021","Mon Aug 16 21:34:48 GMT 2021","17589","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Mon Aug 16 21:33:15 GMT 2021","Mon Aug 16 21:33:48 GMT 2021","32895","src.tests.automation","test_editdata","","","","test_editdata",""
"passed","Mon Aug 16 21:34:02 GMT 2021","Mon Aug 16 21:34:14 GMT 2021","11761","src.tests.automation","test_login","","","","test_login",""
"passed","Mon Aug 16 21:32:48 GMT 2021","Mon Aug 16 21:33:15 GMT 2021","27352","src.tests.automation","test_deletedata","","","","test_deletedata",""
