"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 18:50:17 GMT 2021","Tue Aug 10 18:50:29 GMT 2021","11910","src.tests.automation","test_registration","","","","testregistration",""
"passed","Tue Aug 10 18:48:32 GMT 2021","Tue Aug 10 18:49:05 GMT 2021","32911","src.tests.automation","test_editdata","","","","test_editdata",""
"passed","Tue Aug 10 18:50:29 GMT 2021","Tue Aug 10 18:51:12 GMT 2021","42707","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"passed","Tue Aug 10 18:48:04 GMT 2021","Tue Aug 10 18:48:32 GMT 2021","27380","src.tests.automation","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 10 18:49:47 GMT 2021","Tue Aug 10 18:50:05 GMT 2021","17690","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Tue Aug 10 18:50:05 GMT 2021","Tue Aug 10 18:50:17 GMT 2021","11933","src.tests.automation","test_policy","","","","test_policy",""
"passed","Tue Aug 10 18:49:18 GMT 2021","Tue Aug 10 18:49:30 GMT 2021","11873","src.tests.automation","test_login","","","","test_login",""
"broken","Tue Aug 10 18:47:54 GMT 2021","Tue Aug 10 18:48:04 GMT 2021","10247","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 18:49:05 GMT 2021","Tue Aug 10 18:49:18 GMT 2021","13502","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Tue Aug 10 18:49:30 GMT 2021","Tue Aug 10 18:49:47 GMT 2021","17183","src.tests.automation","test_logout","","","","test_logout",""
